Date,Close,High,Low,Open,Volume,EMA_10,EMA_50,RSI,MACD,Signal_Line
2018-01-22,23.437332153320312,23.85533332824707,23.280000686645508,23.293333053588867,93156000,22.736484911664046,21.816508452435215,77.25273488226236,0.49002267938351807,0.3163758765321087
2018-01-23,23.519332885742188,24.03333282470703,23.399999618530277,24.0,81981000,22.878820906950978,21.883285881192354,77.73381082623325,0.5256062522373632,0.3582219516731596
2018-01-24,23.05933380126953,23.649999618530277,22.90133285522461,23.6386661529541,79312500,22.911641433190717,21.92940540746989,73.17903811626272,0.5108002213559537,0.38873760560971843
2018-01-25,22.50933265686035,23.280000686645508,22.426666259765625,23.218000411987305,101104500,22.83849438294883,21.952147652544024,67.07714276375636,0.44950423440077003,0.40089093136792875
2018-01-26,22.856666564941406,22.933332443237305,22.38066673278809,22.76666641235352,68091000,22.84179841603839,21.987618982441962,68.59164403293597,0.4240653058423405,0.4055258062628111
2018-01-29,23.302000045776367,23.38999938964844,22.552000045776367,22.656667709350582,71206500,22.925471439627113,22.039163337866842,61.408687855482036,0.4348270462595565,0.41138605426216024
2018-01-30,23.05466651916504,23.218000411987305,22.81133270263672,23.00933265686035,70765500,22.948961454088554,22.0789869920354,60.369286637376526,0.4185730054748795,0.41282344450470415
2018-01-31,23.62066650390625,23.746000289916992,23.012666702270508,23.167333602905277,93211500,23.0710896449645,22.139445012108766,64.80947077822236,0.44621929132977556,0.41950261386971843
2018-02-01,23.28333282470703,23.977333068847656,23.242000579833984,23.399999618530277,62965500,23.109679314008595,22.184303357700855,58.33577802044082,0.43588455750413146,0.42277900259660106
2018-02-02,22.916667938232425,23.46333312988281,22.700666427612305,23.22933387756348,55572000,23.074586336594745,22.213023537329544,55.262064583564126,0.39357057786493144,0.41693731765026715
2018-02-05,22.208667755126957,22.96466636657715,22.200000762939453,22.531333923339844,66961500,22.917146594509692,22.21285272234121,45.57640701708765,0.2994548176393117,0.3934408176480761
2018-02-06,22.264667510986328,22.4146671295166,21.56666755676269,21.680667877197266,76326000,22.79851403386908,22.2148846748371,40.84919228798079,0.22677202513635208,0.36010705914573127
2018-02-07,23.0,23.06666755676269,22.37733268737793,22.59933280944824,104538000,22.835147845892884,22.245673511118,50.26705491203356,0.22590152272473674,0.3332659518615324
2018-02-08,21.01533317565918,23.2413330078125,20.97333335876465,22.88733291625977,154719000,22.504272451304935,22.19742487051177,33.406457786184916,0.06432412860611336,0.2794775872104486
2018-02-09,20.69466781616211,21.398666381835938,19.65066719055176,21.32866668701172,194005500,22.175253426733512,22.13849322132159,30.97133471382351,-0.08858102798352618,0.20586586417165365
2018-02-12,21.048667907714844,21.2053337097168,20.416667938232425,21.07533264160156,93417000,21.970419696002843,22.095754973729168,33.48191036206819,-0.17912972139303918,0.1288667470587151
2018-02-13,21.577333450317383,21.612667083740234,20.833999633789062,21.001333236694336,68403000,21.898949469514577,22.075424717909097,40.18195717688384,-0.2058583157211693,0.06192173450273821
2018-02-14,21.48733329772949,21.744667053222656,21.23466682434082,21.389333724975582,59260500,21.824110165553652,22.052362309274603,42.789954900718584,-0.23163305774342646,0.003210776053505275
2018-02-15,22.271333694458008,22.274667739868164,21.49333381652832,21.63333320617676,88693500,21.905423534445355,22.06094942241905,46.11022624806039,-0.18664590878829657,-0.03476056091485509
2018-02-16,22.36599922180176,22.874666213989254,22.10933303833008,22.166667938232425,84639000,21.989164568510155,22.072912159649746,43.47582620071316,-0.1417208821118301,-0.056152625154250096
2018-02-20,22.31800079345703,22.7226676940918,22.100000381469727,22.29800033569336,60141000,22.04895297304595,22.08252347862258,44.71847983019275,-0.10873709330606474,-0.06666951878461302
2018-02-21,22.21999931335449,22.645999908447266,22.211332321166992,22.402000427246094,48294000,22.0800523076475,22.087914687827755,39.235564780571174,-0.08947370626350448,-0.07123035628039132
2018-02-22,23.077999114990234,23.16266632080078,22.31666755676269,22.368667602539062,104547000,22.261497181709814,22.12674152810864,48.538895557376044,-0.004917237011202502,-0.05796773242655356
2018-02-23,23.46999931335449,23.666000366210938,23.13999938964844,23.18866729736328,87261000,22.481224842008846,22.179418304000635,53.92322511945948,0.09265741696779628,-0.02784270254768359
2018-02-26,23.827999114990234,23.933332443237305,23.49066734313965,23.56666755676269,65100000,22.726092891641823,22.24406853188258,62.080963612933715,0.1966072591961563,0.017047289801084387
2018-02-27,23.39933204650879,23.99933242797852,23.333999633789062,23.75,71961000,22.848500010708545,22.289372983436547,58.01921243105918,0.2416132411293006,0.061960480066727636
2018-02-28,22.87066650390625,23.682666778564453,22.814666748046875,23.50466728210449,91045500,22.852530282199034,22.312168807768693,49.05843355158065,0.23194816099888982,0.09595801625316008
2018-03-01,22.062000274658203,23.244667053222656,22.00466728210449,23.000667572021484,103284000,22.708797553555243,22.302358277058477,59.19420154846532,0.15722353393677224,0.10821111978988252
2018-03-02,22.341333389282227,22.347999572753903,21.531333923339844,21.798667907714844,76392000,22.641985887323784,22.303886712831957,64.57055095651582,0.11916986052264633,0.11040286793643529
